Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,batt,
"C1, C13, C15, C2, C5",0805,5,10 uF,
"C10, C11",0805,2,2.2 nF,
"C12, C14",0805,2,0.1 uF,
"C16, C17, C6",0805,3,100 nF,
C3,0805,1,1uF,
C4,0805,1,47 uf,
"C7, C8",0805,2,2.2 uF,
C9,0805,1,1 uF,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J16,PinHeader_1x14_P2.54mm_Vertical,1,PINHD_1x14_Male,
J2,Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,1,AudioJack3,
J3,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det1,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2k,
"R10, R11, R12, R13, R14, R15, R16, R17, R2, R3, R4, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,12,10k,
"R5, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,470ohm,
"R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,5.1k,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_SPST,
U1,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,MCP73871-2CC,
U2,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U3,SOT-223-3_TabPin2,1,LT1963AxST-3.3,
U4,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
